rank,song,pattern
1,"애프터 라이크",E01
2,"애프터 라이크",N04
3,"톰보이",N03
4,"애프터 라이크",H06
5,"톰보이",H05
6,"베토벤 바이러스",N04
7,"베토벤 바이러스",H07
8,"누드",N04
9,"일레븐",N04
10,"테디베어",N04
11,"일레븐",E02
12,"누드",H06
13,"테디베어",H06
14,"일레븐",H06
15,"톰보이",V08
16,"테디베어",E02
17,"누드",E02
18,"판도라",N04
19,"판도라",H07
20,"얼론",E01
21,"아모르 파티",E02
22,"윈터",N04
23,"비행기",H05
24,"배드 애플!! feat. Nomico",H05
25,"위스퍼",E02
26,"슈샤",N03
27,"위스퍼",H06
28,"터키 행진곡",H07
29,"아모르 파티",H06
30,"아모르 파티",N04
31,"비행기",N03
32,"윈터",H07
33,"캐논 디",H07
34,"설탕음모론",H06
35,"판도라",E02
36,"비행기",E01
37,"키티 캣",E01
38,"슈퍼 카프리시오",N04
39,"파이렛",E02
40,"배드 애플!! feat. Nomico",N03
41,"캐논 디",N03
42,"우편마차",N04
43,"우편마차",H07
44,"소서리스 엘리제",N04
45,"얼론",N03
46,"팔로우 미",H06
47,"팔로우 미",N04
48,"뷰티플라이어",N04
49,"설탕음모론",N03
50,"파이렛",N04
51,"굿 나이트",N03
52,"굿 나이트",H06
53,"설탕음모론",E01
54,"소서리스 엘리제",H06
55,"바이올렛 퍼퓸",H06
56,"보카",N03
57,"스테이저",S17
58,"스테이저",S19
59,"스테이저",D20
60,"스위트로닉",N03
61,"배드 애플!! feat. Nomico",E01
62,"톰보이",S08
63,"뷰티플라이어",E02
64,"슈퍼 카프리시오",H07
65,"라스트 리버스",N03
66,"얼론",H05
67,"베토벤 바이러스",V12
68,"스톰",N04
69,"닥터 엠",H06
70,"조깅",H05
71,"터키 행진곡",N03
72,"스톰",H06
73,"체이스 미",H05
74,"바이올렛 퍼퓸",N04
75,"레이디버그",E01
76,"체이스 미",N03
77,"뷰티플라이어",H06
78,"또다른 진심",H06
79,"조깅",N03
80,"슈샤",H05
81,"파이렛",H06
82,"애프터 라이크",S09
83,"또다른 진심",N04
84,"보카",H05
85,"라스트 리버스",H05
86,"닥터 엠",N03
87,"톰보이",S17
88,"키티 캣",N03
89,"리틀 먼치킨",S16
90,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",S18
91,"애프터 라이크",S06
92,"스위트로닉",H05
93,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",S20
94,"위스퍼",V09
95,"스프레이",N04
96,"굿 나이트",V09
97,"스톰",E02
98,"서든 어페어런스 이미지",S17
99,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",S16
100,"리틀 먼치킨",S19
101,"리틀 먼치킨",D23
102,"시",S16
103,"서든 어페어런스 이미지",D23
104,"사라반드",E02
105,"리틀 먼치킨",D20
106,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",D22
107,"스프레이",E02
108,"톰보이",D22
109,"스테이저",D18
110,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",D19
111,"사라반드",N04
112,"서든 어페어런스 이미지",S19
113,"바이올렛 퍼퓸",V08
114,"유포리아닉",S16
115,"서든 어페어런스 이미지",S21
116,"보카",V09
117,"조깅",V09
118,"시",D23
119,"시",S22
120,"리틀 먼치킨",S21
121,"서든 어페어런스 이미지",D21
122,"슈퍼 판타지",H07
123,"서든 어페어런스 이미지",D17
124,"체이스 미",V09
125,"시",S19
126,"슈퍼 판타지",N04
127,"사라반드",H07
128,"플레이버 스텝!",S18
129,"팔로우 미",V09
130,"키티 캣",H05
131,"일레븐",S06
132,"톰보이",S19
133,"누드",S06
134,"레이디버그",N03
135,"리틀 먼치킨",D17
136,"진폐증 ft. Kagamine Len/GUMI",S16
137,"팝 더 트랙",E02
138,"시",D20
139,"판도라",S11
140,"테디베어",S09
141,"애프터 라이크",S13
142,"판도라",S07
143,"톰보이",S05
144,"일레븐",S12
145,"톰보이",D18
146,"스위트로닉",V08
147,"스프레이",H06
148,"스테이저",S15
149,"시",D18
150,"유포리아닉",S11
151,"판도라",S17
152,"소서리스 엘리제",V08
153,"애프터 라이크",S15
154,"유포리아닉",S08
155,"레미니센스",N03
156,"터키 행진곡",V12
157,"슈샤",V10
158,"톰보이",D20
159,"누드",S11
160,"베토벤 바이러스",S07
161,"플레이버 스텝!",S14
162,"서든 어페어런스 이미지",S15
163,"레미니센스",H06
164,"레이디버그",H05
165,"또다른 진심",V08
166,"요! 세이!! 페어리!!!",S16
167,"진폐증 ft. Kagamine Len/GUMI",S19
168,"라스트 리버스",V09
169,"애프터 라이크",S04
170,"윈터",V12
171,"블루이쉬 로즈",S16
172,"테디베어",S06
173,"리틀 먼치킨",D15
174,"스테이저",D16
175,"애프터 라이크",S18
176,"팝 더 트랙",N04
177,"배드 애플!! feat. Nomico",S09
178,"굿 나이트",S09
179,"추격",S16
180,"플레이버 스텝!",S11
181,"닥터 엠",V09
182,"추격",S22
183,"이렐리아",S18
184,"톰보이",D12
185,"이렐리아",S22
186,"판도라",D18
187,"일레븐",S15
188,"8 6",S20
189,"우편마차",V12
190,"리틀 먼치킨",S13
191,"캐논 디",V11
192,"8 6",S16
193,"네오 카타르시스",S20
194,"트릭크래쉬 220",S18
195,"진폐증 ft. Kagamine Len/GUMI",D22
196,"큐리아서티 오버드라이브",S18
197,"플레이버 스텝!",D15
198,"스위트로닉",S15
199,"네오 카타르시스",S22
200,"슈퍼 카프리시오",V12
201,"팝 더 트랙",H07
202,"아모르 파티",S15
203,"비옐라의 악몽",S11
204,"플레이버 스텝!",D19
205,"밀크",S07
206,"테디베어",S14
207,"모페모페",S11
208,"보카",S09
209,"비행기",S13
210,"큐리아서티 오버드라이브",S15
211,"벡터",S14
212,"유포리아닉",S05
213,"트릭크래쉬 220",S21
214,"요! 세이!! 페어리!!!",S20
215,"배드 애플!! feat. Nomico",S05
216,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",D13
217,"유 앤 아이",S07
218,"웨딩 크래셔",S10
219,"큐리아서티 오버드라이브",S20
220,"슈퍼 판타지",V10
221,"가고일 - FULL SONG -",S21
222,"네오 카타르시스",S17
223,"유포리아닉",D18
224,"유포리아닉",S19
225,"요! 세이!! 페어리!!!",S11
226,"보카",S14
227,"일레븐",S17
228,"블루이쉬 로즈",S20
229,"벡터",S18
230,"여래아",S01
231,"머독",S18
232,"에너지 시너지 매트릭스",S07
233,"바버스 매드니스",S18
234,"베토벤 바이러스",S12
235,"서든 어페어런스 이미지",S13
236,"플레이버 스텝!",S21
237,"R.I.P",S12
238,"스톰",S17
239,"할로윈 파티 ~Multiverse~",S08
240,"베르사이유",S16
241,"톰보이",S03
242,"베토벤 바이러스",S06
243,"스톰",S14
244,"비옐라의 악몽",S16
245,"애프터 라이크",D20
246,"트릭크래쉬 220",D20
247,"여래아",S13
248,"비행기",S15
249,"큐리아서티 오버드라이브",S10
250,"벡터",S08
251,"조깅",S16
252,"요! 세이!! 페어리!!!",D18
253,"블루이쉬 로즈",S12
254,"시",S11
255,"레미니센스",V10
256,"유포리아닉",D10
257,"할로윈 파티 ~Multiverse~",S12
258,"꼭두각시",S18
259,"트릭크래쉬 220",S15
260,"애프터 라이크",D15
261,"얼티메이텀",S21
262,"일레븐",D18
263,"체이스 미",S09
264,"머독",S20
265,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",S11
266,"R.I.P",S16
267,"밀크",S11
268,"할시온",S12
269,"조깅",S09
270,"판도라",D13
271,"파이렛",S09
272,"밀크",S17
273,"블루이쉬 로즈",D18
274,"굿바운스",S16
275,"시",D13
276,"트릭크래쉬 220",S23
277,"진폐증 ft. Kagamine Len/GUMI",S12
278,"애프터 라이크",D17
279,"바이올렛 퍼퓸",S13
280,"파이렛",S13
281,"비옐라의 악몽",S19
282,"모페모페",S15
283,"바버스 매드니스",S22
284,"애프터 라이크",D07
285,"푸파",S17
286,"애프터 라이크",S01
287,"누드",S14
288,"비행기",S17
289,"스테이저",S11
290,"베르사이유",S10
291,"할로윈 파티 ~Multiverse~",S16
292,"할로윈 파티 ~Multiverse~",S18
293,"밀크",S15
294,"아모르 파티",S06
295,"에너지 시너지 매트릭스",S16
296,"얼티메이텀",S17
297,"큐리아서티 오버드라이브",D16
298,"꺼림칙한",S19
299,"이렐리아",S13
300,"트릭크래쉬 220",D23
301,"브레인 파워",S11
302,"추격",D17
303,"요! 세이!! 페어리!!!",S06
304,"배드 애플!! feat. Nomico",S13
305,"누드",S04
306,"어콰이어",S20
307,"굿텍",S16
308,"얼론",S08
309,"R.I.P",S19
310,"큐리아서티 오버드라이브",D22
311,"슈퍼 판타지",S16
312,"머독",S11
313,"이렐리아",S24
314,"디그니티",D26
315,"팔로우 미",S09
316,"위스퍼",S13
317,"보카",S17
318,"굿텍",S18
319,"벡터",S22
320,"스톰",S09
321,"블루이쉬 로즈",S08
322,"아모르 파티",S18
323,"풀 문",S20
324,"테디베어",S17
325,"네오 카타르시스",S25
326,"알테일",D23
327,"큐리아서티 오버드라이브",S22
328,"굿바운스",S07
329,"쇼다운",S20
330,"리틀 먼치킨",S08
331,"푸파",S19
332,"엘리제",S07
333,"네오 카타르시스",D21
334,"배드 애플!! feat. Nomico",S15
335,"웨딩 크래셔",S06
336,"굿텍",S21
337,"꼭두각시",S20
338,"이렐리아",D19
339,"비행기",S05
340,"트릭크래쉬 220",D16
341,"그로스",S16
342,"블루이쉬 로즈",D14
